program,jurisdiction,element,family,scope_version,citation_path,note
liheap,us-wa,LIHEAP-ST-05,state plan,2026-09-10,us-wa/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-wa,LIHEAP-ST-09,plan attachment / policy manual,,,matrix is a plan attachment not in the extracted PDF; the clearinghouse index lists no policy manual for this state; state agency site not inventoried
liheap,us-wa,LIHEAP-ST-18,state policy manual,,,clearinghouse index lists no policy manual for this state; state agency site not inventoried in the queue
liheap,us-wi,LIHEAP-ST-05,state plan,2026-09-10,us-wi/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-wv,LIHEAP-ST-05,state plan,2026-09-10,us-wv/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-wy,LIHEAP-ST-03,state plan,2026-09-10,us-wy/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-wy,LIHEAP-ST-05,state plan,2026-09-10,us-wy/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-wy,LIHEAP-ST-09,plan attachment / policy manual,,,matrix is a plan attachment not in the extracted PDF; the clearinghouse index lists no policy manual for this state; state agency site not inventoried
liheap,us-wy,LIHEAP-ST-18,state policy manual,,,clearinghouse index lists no policy manual for this state; state agency site not inventoried in the queue
medicare,us-az,MED-ST-3,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,263 MSP rows in the scope but none carries a resource/asset limit or no-resource-test statement near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-az,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,263 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-co,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,14 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-ct,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,24 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-dc,MED-ST-3,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,3 MSP rows in the scope but none carries a resource/asset limit or no-resource-test statement near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-dc,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,3 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-de,MED-ST-3,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,9 MSP rows in the scope but none carries a resource/asset limit or no-resource-test statement near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-de,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,9 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-fl,MED-ST-7,state Medicaid regulation/manual,2026-05-27-fl-ess-manual-r2026-07-15-self-contained,,46 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-ga,MED-ST-2,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,54 MSP rows in the scope but none carries an FPL-percent or dollar income standard near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-ga,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,54 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-hi,MED-ST-3,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,28 MSP rows in the scope but none carries a resource/asset limit or no-resource-test statement near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-hi,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,28 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-id,MED-ST-2,state Medicaid regulation/manual,2026-07-04-id-aabd-rules,,5 MSP rows in the scope but none carries an FPL-percent or dollar income standard near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-id,MED-ST-7,state Medicaid regulation/manual,2026-07-04-id-aabd-rules,,5 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-il,MED-ST-4,state Medicaid regulation/manual,2026-05-27-il-cash-snap-medical-manual-r2026-07-15-self-contained,,"hand-reviewed: the scan's hit (PM 15000 Partnership asset-protection disregard) is not an MSP disregard; the manual index lists PM 06-12-01-c Income Exemption, which should be opened"
medicare,us-in,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,46 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-ks,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,55 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-ky,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,51 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-la,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,78 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-ma,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,22 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-me,MED-ST-4,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,11 MSP rows in the scope but none carries a disregard or SSI-methodology statement near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-me,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,11 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-mi,MED-ST-6,state Medicaid regulation/manual,2026-07-17-mi-bridges-manual,,hand-reviewed: the scan's hit is the BEM 101 program-code table; BEM 165 (MSP) should be opened for the cost-sharing payment statement
medicare,us-mi,MED-ST-7,state Medicaid regulation/manual,2026-07-17-mi-bridges-manual,,51 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-mn,MED-ST-2,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,93 MSP rows in the scope but none carries an FPL-percent or dollar income standard near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-mn,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,93 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-mo,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,95 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-ms,MED-ST-4,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,"hand-reviewed: the scan's hit is the Disabled Adult Child disregard example (ch. 400 p.20), not an MSP disregard; the MSP budgeting page should be opened"
medicare,us-ms,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,72 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-nc,MED-ST-4,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,52 MSP rows in the scope but none carries a disregard or SSI-methodology statement near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-nc,MED-ST-6,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,"hand-reviewed: the scan's hit ('pend to meet a deductible', MA-2160 p.5) is the Medicaid deductible, not Medicare cost-sharing; MA-2130 QMB benefits should be opened"
medicare,us-nc,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,52 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-nh,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,44 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-nj,MED-ST-3,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,5 MSP rows in the scope but none carries a resource/asset limit or no-resource-test statement near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-nj,MED-ST-4,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,5 MSP rows in the scope but none carries a disregard or SSI-methodology statement near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-nj,MED-ST-6,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,5 MSP rows in the scope but none carries a coinsurance/deductible/cost-sharing payment statement near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-nj,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,5 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-nm,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,22 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-nv,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,39 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-ny,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,69 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-oh,MED-ST-2,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,8 MSP rows in the scope but none carries an FPL-percent or dollar income standard near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-oh,MED-ST-4,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,8 MSP rows in the scope but none carries a disregard or SSI-methodology statement near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-oh,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,8 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-ok,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,18 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-or,MED-ST-1,state Medicaid regulation/manual,,,"the selected Oregon scope is OAR 410-200 (CHIP/Medicaid MAGI rules, 41 rules) which carries no MSP standard; Oregon's MSP rules sit in OAR chapter 461 / 410-200-0435-0440 region, not taken (OARD, HTTP 200 on 2026-09-10)"
medicare,us-or,MED-ST-2,state Medicaid regulation/manual,,,"the selected Oregon scope is OAR 410-200 (CHIP/Medicaid MAGI rules, 41 rules) which carries no MSP standard; Oregon's MSP rules sit in OAR chapter 461 / 410-200-0435-0440 region, not taken (OARD, HTTP 200 on 2026-09-10)"
medicare,us-or,MED-ST-3,state Medicaid regulation/manual,,,"the selected Oregon scope is OAR 410-200 (CHIP/Medicaid MAGI rules, 41 rules) which carries no MSP standard; Oregon's MSP rules sit in OAR chapter 461 / 410-200-0435-0440 region, not taken (OARD, HTTP 200 on 2026-09-10)"
medicare,us-or,MED-ST-4,state Medicaid regulation/manual,,,"the selected Oregon scope is OAR 410-200 (CHIP/Medicaid MAGI rules, 41 rules) which carries no MSP standard; Oregon's MSP rules sit in OAR chapter 461 / 410-200-0435-0440 region, not taken (OARD, HTTP 200 on 2026-09-10)"
medicare,us-or,MED-ST-6,state Medicaid regulation/manual,,,"the selected Oregon scope is OAR 410-200 (CHIP/Medicaid MAGI rules, 41 rules) which carries no MSP standard; Oregon's MSP rules sit in OAR chapter 461 / 410-200-0435-0440 region, not taken (OARD, HTTP 200 on 2026-09-10)"
medicare,us-or,MED-ST-7,state Medicaid regulation/manual,,,"the selected Oregon scope is OAR 410-200 (CHIP/Medicaid MAGI rules, 41 rules) which carries no MSP standard; Oregon's MSP rules sit in OAR chapter 461 / 410-200-0435-0440 region, not taken (OARD, HTTP 200 on 2026-09-10)"
medicare,us-ri,MED-ST-4,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,"hand-reviewed: the scan's hit is the LTSS/MAGI 5% disregard table (210-RICR-40-00-3 p.8), not an MSP disregard"
medicare,us-ri,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,22 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-sc,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,12 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-sd,MED-ST-3,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,3 MSP rows in the scope but none carries a resource/asset limit or no-resource-test statement near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-sd,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,3 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-ut,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,98 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-vt,MED-ST-3,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,5 MSP rows in the scope but none carries a resource/asset limit or no-resource-test statement near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-vt,MED-ST-4,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,5 MSP rows in the scope but none carries a disregard or SSI-methodology statement near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-vt,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,5 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-wa,MED-ST-7,state Medicaid regulation/manual,2026-09-10-medicaid-state-eligibility-manual,,89 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-wv,MED-ST-7,state Medicaid regulation/manual,2026-07-21-wv-income-maintenance-manual,,125 MSP rows in the scope but none carries a 2025/2026-dated dollar figure near the group term; the figure may sit in a standards chart or appendix outside this scope
medicare,us-wy,MED-ST-1,state Medicaid regulation/manual,,,"Medicaid queue needs_review: the WDH Eligibility Online Manual (ecom.wyo.gov, Google Sites) was inventoried (107 policy pages, 17 tables) but not extracted; the selected WY scope is the SNAP/POWER manual, which has no MSP text"
medicare,us-wy,MED-ST-2,state Medicaid regulation/manual,,,"Medicaid queue needs_review: the WDH Eligibility Online Manual (ecom.wyo.gov, Google Sites) was inventoried (107 policy pages, 17 tables) but not extracted; the selected WY scope is the SNAP/POWER manual, which has no MSP text"
medicare,us-wy,MED-ST-3,state Medicaid regulation/manual,,,"Medicaid queue needs_review: the WDH Eligibility Online Manual (ecom.wyo.gov, Google Sites) was inventoried (107 policy pages, 17 tables) but not extracted; the selected WY scope is the SNAP/POWER manual, which has no MSP text"
medicare,us-wy,MED-ST-4,state Medicaid regulation/manual,,,"Medicaid queue needs_review: the WDH Eligibility Online Manual (ecom.wyo.gov, Google Sites) was inventoried (107 policy pages, 17 tables) but not extracted; the selected WY scope is the SNAP/POWER manual, which has no MSP text"
medicare,us-wy,MED-ST-6,state Medicaid regulation/manual,,,"Medicaid queue needs_review: the WDH Eligibility Online Manual (ecom.wyo.gov, Google Sites) was inventoried (107 policy pages, 17 tables) but not extracted; the selected WY scope is the SNAP/POWER manual, which has no MSP text"
medicare,us-wy,MED-ST-7,state Medicaid regulation/manual,,,"Medicaid queue needs_review: the WDH Eligibility Online Manual (ecom.wyo.gov, Google Sites) was inventoried (107 policy pages, 17 tables) but not extracted; the selected WY scope is the SNAP/POWER manual, which has no MSP text"
