jurisdiction,element,level,family,status,scope_version,citation_path,pe_modeled,evidence_note
us,tanf-f-usc-601,federal,federal statute,EXTRACTABLE,,,no,42 U.S.C. 601 Purpose of Title IV-A; no individual entitlement: not in any us/statute scope; uscode.house.gov publishes title 42 (the corpus already takes USC titles from it); inherited by all 51 jurisdictions
us,tanf-f-usc-602,federal,federal statute,EXTRACTABLE,,,no,"42 U.S.C. 602 Eligible States; State plan contents (602(a)(1)-(7)), certifications, public comment, 3-year renewal: not in any us/statute scope; uscode.house.gov publishes title 42 (the corpus already takes USC titles from it); inherited by all 51 jurisdictions"
us-az,tanf-s21,federal_with_state_option,state regulation/manual,PRESENT,us-az/manual/2026-07-17-faa5-recovery,us-az/manual/des/faa5/ca-jobs-exempt-ca-gd/block-1,no,heading='CA Jobs Exempt - CA GD' | 2 body matches | REVISION 47 (01/01/19 - 12/31/19) (01/01/19 - 12/31/19) Grant Diversion budgetary units are exempt from Jobs work requirements. Key GD in th
us-az,tanf-s22,federal_with_state_option,state regulation/manual,PRESENT,us-az/manual/2026-07-17-faa5-recovery,us-az/manual/des/faa5/ca-benefit-determination/block-4,partial,heading='CA Needy Family Test' | 3 body matches | he CA Needy Family Test is not conducted on Kinship Foster Care (KFC) child only cases and some Tribal TANF budgetary units. (See Tribal TANF for Trib
us-az,tanf-s23,state,state regulation/manual,EXTRACTABLE,,,no,"AZ DES FAA policy manual: 7 topic pages plus the 143-row FAA5 recovery scope are in the corpus; the manual (dbmefaapolicy.azdes.gov, FAA1-FAA6) is posted whole (queue 'done' by pointer to a slice)"
us-az,tanf-s24,federal_with_state_option,state regulation/manual,EXTRACTABLE,,,no,"AZ DES FAA policy manual: 7 topic pages plus the 143-row FAA5 recovery scope are in the corpus; the manual (dbmefaapolicy.azdes.gov, FAA1-FAA6) is posted whole (queue 'done' by pointer to a slice)"
us-az,tanf-s25,federal_with_state_option,state regulation/manual,EXTRACTABLE,,,no,"single body mention only at us-az/manual/2025-10-30-az-des-faa5-manual-r2026-07-15-self-contained us-az/manual/des/faa5/ca-payment-standard-a1-2fa2 ('but fails to provide verification of the cost. (See Verification for verification requirements.) ● The budgetary unit is'), not enough for PRESENT; AZ DES FAA policy manual: 7 topic pages plus the 143-row FAA5 recovery scope are in the corpus; the manual (dbmefaapolicy.azdes.gov, FAA1-FAA6) is posted whole (queue 'done' by pointer to a slice)"
us-az,tanf-s26,state,state regulation/manual,EXTRACTABLE,,,no,"AZ DES FAA policy manual: 7 topic pages plus the 143-row FAA5 recovery scope are in the corpus; the manual (dbmefaapolicy.azdes.gov, FAA1-FAA6) is posted whole (queue 'done' by pointer to a slice)"
us-az,tanf-s27,federal_with_state_option,state regulation/manual,PRESENT,us-az/manual/2025-10-30-az-des-faa5-manual-r2026-07-15-self-contained,us-az/manual/des/faa5/na-transitional-benefit-assistance-tba,no,"heading='' | 3 body matches | VQ) a job or reducing their work effort (RWE), without good cause. An Intentional Program Violation (IPV). NOTE NA and CA participants who have served the CA sanction pe"
us-az,tanf-s28,federal_with_state_option,state regulation/manual,PRESENT,us-az/manual/2025-10-30-az-des-faa5-manual-r2026-07-15-self-contained,us-az/manual/des/faa5,no,heading='' | 4 body matches | ndatory Referrals .01 Refugee .02 Referred Mandatory .03 Employed .04 Felony Drug Conviction .05 Fleeing Felon .06 Victims or Survivors of Domestic Vio
us-az,tanf-s29,federal_with_state_option,state regulation/manual,EXTRACTABLE,,,no,"AZ DES FAA policy manual: 7 topic pages plus the 143-row FAA5 recovery scope are in the corpus; the manual (dbmefaapolicy.azdes.gov, FAA1-FAA6) is posted whole (queue 'done' by pointer to a slice)"
us-az,tanf-s30,federal_with_state_option,state regulation/manual,PRESENT,us-az/manual/2025-10-30-az-des-faa5-manual-r2026-07-15-self-contained,us-az/manual/des/faa5,no,heading='' | 4 body matches | Legal Authorities D NA Approval Periods Policy Legal Authorities E NA Transitional Benefit Assistance (TBA) Policy Verification Legal Authorities 02 Determining
us-az,tanf-s31,state,state regulation/manual,PRESENT,us-az/manual/2026-07-17-faa5-recovery,us-az/manual/des/faa5/ca-benefit-determination/block-5,yes,heading='CA Payment Standard Test' | 2 body matches | standard for the size of the budgetary unit living in the home. The countable income minus CA earned income deductions cannot exceed the maximum benefit a
us-az,tanf-s32,federal_with_state_option,state TANF plan (state-published,REVIEW,,,no,"state-published TANF plan not in the corpus and not inventoried: the TANF queue's document family is tanf_policy_sources (manuals and adopted rules), and ACF OFA posts no consolidated plan index (acf.gov/ofa/programs/tanf/state-plans is 404, queue federal row); each state's posting must be checked"
us-ca,tanf-s01,federal_with_state_option,state regulation/manual (assistance unit chapter),PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/2/40-118,partial,heading='40-118 WHO MUST BE INCLUDED ON THE STATEMENT OF FACTS (FILING UNIT)' | heading match | 40-118 WHO MUST BE INCLUDED ON THE STATEMENT OF FACTS (FILING UNIT)
us-ca,tanf-s02,federal_with_state_option,state regulation/manual,REVIEW,,,yes,"single body mention only at us-ca/regulation/2026-09-10-tanf-state-policy-manual us-ca/regulation/mpp/eas/8/42-763 ('arn Program until the end of the month in which the teen parent turns age 19 or until either a high school diploma or it'), not enough for PRESENT; no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual, guidance/2026-06-24-ca-cdss-calworks-acl, statute/2026-06-25-ca-wic-calworks-us-ca-sections-wic-11450-wic-11450.12-wic-11451.5-wic-11452-wic-11452.018] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it"
us-ca,tanf-s03,federal_with_state_option,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/13/44-352,no,heading='44-352 OVERPAYMENT RECOUPMENT' | 11 body matches | ority order unless specifically exempted under Section 44-352.2. .31 Caretaker Relative Recipient When the caretaker relative was a member of the AU at the
us-ca,tanf-s04,federal_with_state_option,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/9/43-119,partial,heading='43-119 SPONSORED NONCITIZENS' | heading match | 43-119 SPONSORED NONCITIZENS
us-ca,tanf-s05,state,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/11/44-212,yes,heading='44-212 MINIMUM BASIC STANDARD OF ADEQUATE CARE' | heading match | 44-212 MINIMUM BASIC STANDARD OF ADEQUATE CARE
us-ca,tanf-s06,state,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/1/40-011,yes,heading='40-011 IMPLEMENTATION OF MAXIMUM AID PAYMENT (MAP)' | heading match | 40-011 IMPLEMENTATION OF MAXIMUM AID PAYMENT (MAP)
us-ca,tanf-s07,state,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/10/44-133,yes,"heading='44-133 TREATMENT OF INCOME -- CALWORKS' | 3 body matches | an the $2,083 Region 1 Nonexempt Family MBSAC for four, family passes applicant test. HANDBOOK CONTINUES Page 412.1 STANDARDS OF ASSISTANCE HANDBOOK C"
us-ca,tanf-s08,state,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/12/44-315,yes,heading='44-315 AMOUNT OF AID' | 15 body matches | ining months of the AR/CO Payment Period (August through June). *50% Earned Income Disregard and Net non-exempt income must be rounded down to the nearest dollar
us-ca,tanf-s09,federal_with_state_option,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/9/43-106,partial,heading='43-106 ASSIGNMENT OF SUPPORT RIGHTS' | heading match | 43-106 ASSIGNMENT OF SUPPORT RIGHTS
us-ca,tanf-s10,state,state regulation/manual,REVIEW,,,yes,"single body mention only at us-ca/regulation/2026-09-10-tanf-state-policy-manual us-ca/regulation/mpp/eas/1/40-007 ('n former AFDC recipients will be eligible to receive funding of their child care expenses under certain conditions up to'), not enough for PRESENT; no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual, guidance/2026-06-24-ca-cdss-calworks-acl, statute/2026-06-25-ca-wic-calworks-us-ca-sections-wic-11450-wic-11450.12-wic-11451.5-wic-11452-wic-11452.018] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it"
us-ca,tanf-s11,federal_with_state_option,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/5/42-215,yes,"heading='42-215 DETERMINING VALUE OF PROPERTY' | 10 body matches | equity value limit amount shall be counted towards the AU’s CalWORKs resource limit. (a) The equity value limit of $25,000 for non-exempt motor vehicles"
us-ca,tanf-s12,state,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/5/42-215,partial,heading='42-215 DETERMINING VALUE OF PROPERTY' | 56 body matches | e received .3 Determination of Value of Personal Property Other than Motor Vehicles: The county shall determine the value of personal property in conform
us-ca,tanf-s13,state,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/12/44-315,yes,heading='44-315 AMOUNT OF AID' | 23 body matches | une). *50% Earned Income Disregard and Net non-exempt income must be rounded down to the nearest dollar amount per MPP Section 44-315.34. HANDBOOK END
us-ca,tanf-s14,federal_with_state_option,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/5/42-302,no,heading='42-302 60-MONTH TIME LIMIT REQUIREMENTS FOR ADULTS' | heading match | 42-302 60-MONTH TIME LIMIT REQUIREMENTS FOR ADULTS
us-ca,tanf-s15,federal_with_state_option,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/6/42-701,partial,heading='42-701 INTRODUCTION TO WELFARE-TO-WORK' | heading match | 42-701 INTRODUCTION TO WELFARE-TO-WORK
us-ca,tanf-s16,federal_with_state_option,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/7/42-742,no,"heading='42-742 CONTRACTS/AGREEMENTS FOR ON-THE-JOB TRAINING (OJT), SUPPORTED WORK, AND T' | heading match | 42-742 CONTRACTS/AGREEMENTS FOR ON-THE-JOB TRAINING (OJT), SUPPORTED WORK, AND TRANSITIONAL EMPLOYMENT FUNDED BY GRANT DI"
us-ca,tanf-s17,federal_with_state_option,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/8/42-769,partial,heading='42-769 APPLICATION OF BONUSES AND SANCTIONS' | heading match | 42-769 APPLICATION OF BONUSES AND SANCTIONS
us-ca,tanf-s18,federal_with_state_option,state regulation/manual,REVIEW,,,no,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual, guidance/2026-06-24-ca-cdss-calworks-acl, statute/2026-06-25-ca-wic-calworks-us-ca-sections-wic-11450-wic-11450.12-wic-11451.5-wic-11452-wic-11452.018] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it"
us-ca,tanf-s19,federal_with_state_option,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/9/42-804,no,heading='42-804 DEVELOPMENT OF A WELFARE-TO-WORK PLAN FOR' | heading match | 42-804 DEVELOPMENT OF A WELFARE-TO-WORK PLAN FOR
us-ca,tanf-s20,federal_with_state_option,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/8/42-762,partial,heading='42-762 INTRODUCTION TO THE CAL-LEARN PROGRAM' | 38 body matches | Social science research has established a strong connection between teenage parenting and longterm welfare dependency. Health research also indicates a
us-ca,tanf-s21,federal_with_state_option,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/1/40-032,no,heading='40-032 IMPLEMENTATION OF DEPRIVATION AND DIVERSION ASSISTANCE' | heading match | 40-032 IMPLEMENTATION OF DEPRIVATION AND DIVERSION ASSISTANCE
us-ca,tanf-s22,federal_with_state_option,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/1/40-039,partial,heading='40-039 IMPLEMENTATION OF ANNUAL REPORTING CHILD ONLY' | heading match | 40-039 IMPLEMENTATION OF ANNUAL REPORTING CHILD ONLY
us-ca,tanf-s23,state,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/3/40-181,no,"heading='40-181 CONTINUING ACTIVITIES AND DETERMINATION OF ELIGIBILITY' | 5 body matches | ker relative living in the home, unless an individual so specified is temporarily absent from the home (see Section 82-812); and (f) The redetermination inte"
us-ca,tanf-s24,federal_with_state_option,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/5/42-431,no,heading='42-431 ELIGIBILITY REQUIREMENTS' | 2 body matches | 05.21. .6 Determination of Eligibility for Benefits and Services for Victims of Domestic Violence or Other Serious Crimes .61 State-funded services for noncitizen vic
us-ca,tanf-s25,federal_with_state_option,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/2/40-115,no,heading='40-115 THE APPLICATION PROCESS' | heading match | 40-115 THE APPLICATION PROCESS
us-ca,tanf-s26,state,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/4/41-609,no,heading='41-609 DISCONTINUANCE AND NOTICE OF ACTION REQUIREMENTS' | heading match | 41-609 DISCONTINUANCE AND NOTICE OF ACTION REQUIREMENTS
us-ca,tanf-s27,federal_with_state_option,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/7/42-751,no,"heading='42-751 UNDERPAYMENTS AND OVERPAYMENTS FOR TRANSPORTATION, ANCILLARY, AND DIAPER ' | heading match | 42-751 UNDERPAYMENTS AND OVERPAYMENTS FOR TRANSPORTATION, ANCILLARY, AND DIAPER SUPPORT SE"
us-ca,tanf-s28,federal_with_state_option,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/1/40-034,no,"heading='40-034 IMPLEMENTATION OF CALWORKS DRUG AND FLEEING' | 2 body matches | Welfare and Institutions Code. Section 11486.5 provides that persons fleeing to avoid felony prosecution, custody or confinement, or violating a condition"
us-ca,tanf-s29,federal_with_state_option,state regulation/manual,REVIEW,,,no,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual, guidance/2026-06-24-ca-cdss-calworks-acl, statute/2026-06-25-ca-wic-calworks-us-ca-sections-wic-11450-wic-11450.12-wic-11451.5-wic-11452-wic-11452.018] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it"
us-ca,tanf-s30,federal_with_state_option,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/7/42-750,no,heading='42-750 SUPPORTIVE SERVICES' | heading match | 42-750 SUPPORTIVE SERVICES
us-ca,tanf-s31,state,state regulation/manual,PRESENT,us-ca/regulation/2026-09-10-tanf-state-policy-manual,us-ca/regulation/mpp/eas/10/44-101,yes,"heading='44-101 INCOME DEFINITIONS' | 13 body matches | past the month of receipt. If these funds are paid as a nonrecurring lump sum payment, then the funds shall be treated as property in accordance with Secti"
us-ca,tanf-s32,federal_with_state_option,state TANF plan (state-published,REVIEW,,,no,"state-published TANF plan not in the corpus and not inventoried: the TANF queue's document family is tanf_policy_sources (manuals and adopted rules), and ACF OFA posts no consolidated plan index (acf.gov/ofa/programs/tanf/state-plans is 404, queue federal row); each state's posting must be checked"
us-co,tanf-s01,federal_with_state_option,state regulation/manual (assistance unit chapter),PRESENT,us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated,us-co/regulation/9-ccr-2503-6/3.604.2,partial,heading='3.604.2 Household Composition A.' | heading match | 3.604.2 Household Composition A.
us-co,tanf-s02,federal_with_state_option,state regulation/manual,REVIEW,,,yes,"no body in the selected scope(s) [regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it"
us-co,tanf-s03,federal_with_state_option,state regulation/manual,PRESENT,us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated,us-co/regulation/recovery/us-co-9-ccr-2503-6/page-24,no,"heading='Page 24' | 2 body matches | all be followed. A caretaker: 1. Is a parent; or, 2. Is a relative by blood, marriage, or adoption who is within the fifth degree of kinship to the dependent child (not"
us-co,tanf-s04,federal_with_state_option,state regulation/manual,PRESENT,us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated,us-co/regulation/9-ccr-2503-6/3.604.2,partial,heading='3.604.2 Household Composition A.' | 15 body matches | ance Plan are eligible for Colorado Works. K. Assistance for Eligible Refugees Refugees are qualified non-citizens exempt from the five-year bar. T
us-co,tanf-s05,state,state regulation/manual,PRESENT,us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated,us-co/regulation/9-ccr-2503-6/3.606.1,yes,heading='3.606.1 Basic Cash Assistance A.' | 10 body matches | Determining Eligibility for Basic Cash Assistance Grant Based on the Need Standard The State department shall annually review and as necessary update th
us-co,tanf-s06,state,state regulation/manual,PRESENT,us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated,us-co/regulation/9-ccr-2503-6/3.609.4,yes,"heading='3.609.4 Recovery A.' | 6 body matches | tion 3.609.4.L, compute ten percent (10%) of the Colorado Works grant payment amount. If the resulting percentage amount is less than ten dollars ($10), t"
us-co,tanf-s07,state,state regulation/manual,PRESENT,us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated,us-co/regulation/8-ccr-1403-1/3.111/page-20,yes,"heading='Page 20' | 2 body matches | ciency standard, not to be set below one hundred eighty-five percent (185%) of federal poverty level. b. Exit income eligibility must be eighty-"
us-co,tanf-s08,state,state regulation/manual,PRESENT,us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated,us-co/regulation/9-ccr-2503-6/3.606.2,yes,heading='3.606.2 Earned Income Disregards' | heading match | 3.606.2 Earned Income Disregards
us-co,tanf-s09,federal_with_state_option,state regulation/manual,PRESENT,us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated,us-co/regulation/9-ccr-2503-6/3.604.4,partial,heading='3.604.4 Colorado Works and Child Support Services A.' | heading match | 3.604.4 Colorado Works and Child Support Services A.
us-co,tanf-s10,state,state regulation/manual,REVIEW,,,yes,"single body mention only at us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated us-co/regulation/8-ccr-1403-1/3.111/page-18 ('or teen parent(s) shall submit documentation listing their income and work-related expenses. The county shall obtain ver'), not enough for PRESENT; no body in the selected scope(s) [regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it"
us-co,tanf-s11,federal_with_state_option,state regulation/manual,REVIEW,,,yes,"single body mention only at us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated us-co/regulation/recovery/us-co-9-ccr-2503-6/page-66 ('their resources are less than the Supplemental Security Income (SSI) resource limit which is $2,000 for an individual an'), not enough for PRESENT; no body in the selected scope(s) [regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it"
us-co,tanf-s12,state,state regulation/manual,REVIEW,,,partial,"single body mention only at us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated us-co/regulation/recovery/us-co-9-ccr-2503-6/page-33 ('non-citizen’s status. 4. Colorado Department of Revenue, Division of Motor Vehicles (DMV) The Colorado DMV may be used b'), not enough for PRESENT; no body in the selected scope(s) [regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it"
us-co,tanf-s13,state,state regulation/manual,PRESENT,us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated,us-co/regulation/recovery/us-co-9-ccr-2503-6/page-51,yes,"heading='Page 51' | 5 body matches | igible, child support income is excluded in the basic cash assistance grant calculation. C. For purposes of redetermination (RRR): 1. Inconsistent child supp"
us-co,tanf-s14,federal_with_state_option,state regulation/manual,PRESENT,us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated,us-co/regulation/9-ccr-2503-6/3.606.6,no,"heading='3.606.6 Time Limits and Extensions A.' | 2 body matches | domestic violence extension, after the lapse of the sixty (60) month lifetime limit, when new hardship or domestic violence factors occur, to the extent"
us-co,tanf-s15,federal_with_state_option,state regulation/manual,PRESENT,us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated,us-co/regulation/9-ccr-2503-6/3.608.2,partial,heading='3.608.2 Work Activities A.' | heading match | 3.608.2 Work Activities A.
us-co,tanf-s16,federal_with_state_option,state regulation/manual,PRESENT,us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated,us-co/regulation/recovery/us-co-9-ccr-2503-6/page-72,no,"heading='Page 72' | 2 body matches | nt, such as full-time or part-time employment, subsidized employment, on the job training, and temporary employment. 2. Education, such as pursuing a degree, h"
us-co,tanf-s17,federal_with_state_option,state regulation/manual,PRESENT,us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated,us-co/regulation/9-ccr-2503-6/3.608.4,partial,heading='3.608.4 Sanction A.' | heading match | 3.608.4 Sanction A.
us-co,tanf-s18,federal_with_state_option,state regulation/manual,REVIEW,,,no,"no body in the selected scope(s) [regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it"
us-co,tanf-s19,federal_with_state_option,state regulation/manual,REVIEW,,,no,"single body mention only at us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated us-co/regulation/recovery/us-co-9-ccr-2503-6/page-69 ('3-6 Income Maintenance (Volume 3) 69 a. Medical services, except for family planning; b. Title IV of the Social Security'), not enough for PRESENT; no body in the selected scope(s) [regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it"
us-co,tanf-s20,federal_with_state_option,state regulation/manual,PRESENT,us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated,us-co/regulation/9-ccr-2503-6/3.604.2,partial,heading='3.604.2 Household Composition A.' | 17 body matches | ts of dependent child(ren) who live in the home unless the child is a minor parent who is requesting assistance for their own child or responsibility is
us-co,tanf-s21,federal_with_state_option,state regulation/manual,PRESENT,us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated,us-co/regulation/9-ccr-2503-6/3.606.8,no,"heading='3.606.8 Diversion, Other Assistance, and Family Needs Payments A.' | 12 body matches | A Colorado Works client may receive a diversion payment to address a specific crisis situation or episode of need. Such payme"
us-co,tanf-s22,federal_with_state_option,state regulation/manual,PRESENT,us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated,us-co/regulation/9-ccr-2503-6/3.604.2,partial,heading='3.604.2 Household Composition A.' | 2 body matches | county maintenance of effort (MOE) funds. All other single parent and child only cases will be paid with county TANF block grant funds. C. Members of
us-co,tanf-s23,state,state regulation/manual,PRESENT,us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated,us-co/regulation/9-ccr-2503-6/3.604.2,no,heading='3.604.2 Household Composition A.' | 4 body matches | child even if the following occurs: 1. The child or the caretaker is temporarily absent from the home to receive medical treatment; 2. The child is under the
us-co,tanf-s24,federal_with_state_option,state regulation/manual,PRESENT,us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated,us-co/regulation/9-ccr-2503-6/3.604.5,no,heading='3.604.5 Family Violence Option (FVO) Waiver' | heading match | 3.604.5 Family Violence Option (FVO) Waiver
us-co,tanf-s25,federal_with_state_option,state regulation/manual,PRESENT,us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated,us-co/regulation/9-ccr-2503-6/3.606.4,no,heading='3.606.4 Redetermination of Eligibility A.' | heading match | 3.606.4 Redetermination of Eligibility A.
us-co,tanf-s26,state,state regulation/manual,PRESENT,us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated,us-co/regulation/9-ccr-2503-6/3.609.7,no,heading='3.609.7 Appeal and State Level Fair Hearing A.' | heading match | 3.609.7 Appeal and State Level Fair Hearing A.
us-co,tanf-s27,federal_with_state_option,state regulation/manual,PRESENT,us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated,us-co/regulation/9-ccr-2503-6/3.609.3,no,heading='3.609.3 Overpayments' | heading match | 3.609.3 Overpayments
us-co,tanf-s28,federal_with_state_option,state regulation/manual,PRESENT,us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated,us-co/regulation/9-ccr-2503-6/3.601,no,heading='3.601 Program Definitions' | 4 body matches | or at any state publications library during regular business hours. “Fleeing felon” means a person fleeing to avoid prosecution or custody or confinemen
us-co,tanf-s29,federal_with_state_option,state regulation/manual,PRESENT,us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated,us-co/regulation/9-ccr-2503-6/3.602.1,no,"heading='3.602.1 Applications A.' | 3 body matches | utomated teller machines and point of sale (POS) devices: a) Licensed gaming establishments as defined in Section 44-30- 103(18), C.R.S.; b) In-state simulcast"
us-co,tanf-s30,federal_with_state_option,state regulation/manual,PRESENT,us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated,us-co/regulation/9-ccr-2503-6/3.605.4,no,"heading='3.605.4 Exempt Unearned Income A.' | 2 body matches | child, from a federal, state, or local government program for in-home supportive services (attendant, chore, housekeeping) shall be exempt as income in determi"
us-co,tanf-s31,state,state regulation/manual,PRESENT,us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated,us-co/regulation/9-ccr-2503-6/3.605.3,yes,heading='3.605.3 Countable Unearned Income' | heading match | 3.605.3 Countable Unearned Income
us-co,tanf-s32,federal_with_state_option,state TANF plan (state-published,REVIEW,,,no,"state-published TANF plan not in the corpus and not inventoried: the TANF queue's document family is tanf_policy_sources (manuals and adopted rules), and ACF OFA posts no consolidated plan index (acf.gov/ofa/programs/tanf/state-plans is 404, queue federal row); each state's posting must be checked"
us-ct,tanf-s01,federal_with_state_option,state regulation/manual (assistance unit chapter),EXTRACTABLE,,,partial,"single body mention only at us-ct/policy/2026-07-02-ct-ssp-upm-and-standards us-ct/policy/dss/upm/6000/block-1 ('le for assistance. The basic calculation is performed by comparing an assistance unit's monthly applied income to either'), not enough for PRESENT; CT DSS Uniform Policy Manual: 13 UPM sections plus the 2026 standards chart are in the corpus (28 rows); the full UPM (TFA chapters 1000-8000) is posted by DSS (queue 'done' by pointer to a slice)"
