jurisdiction,element,level,family,status,scope_version,citation_path,pe_modeled,evidence_note
us,C-ST-1397aa,federal_only,federal statute (uscode.house.gov),PRESENT,2026-07-19-rulespec-title-42-consolidated,us/statute/42/1397aa,no,federal statute text held (42 U.S.C. 1397aa)
us-nd,C-457-120,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/120,no,federal-only element (42 CFR 457.120); carried at the us row and inherited
us-ne,C-457-120,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/120,no,federal-only element (42 CFR 457.120); carried at the us row and inherited
us-nh,C-457-120,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/120,no,federal-only element (42 CFR 457.120); carried at the us row and inherited
us-nj,C-457-120,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/120,no,federal-only element (42 CFR 457.120); carried at the us row and inherited
us-nm,C-457-120,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/120,no,federal-only element (42 CFR 457.120); carried at the us row and inherited
us-nv,C-457-120,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/120,no,federal-only element (42 CFR 457.120); carried at the us row and inherited
us-ny,C-457-120,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/120,no,federal-only element (42 CFR 457.120); carried at the us row and inherited
us-oh,C-457-120,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/120,no,federal-only element (42 CFR 457.120); carried at the us row and inherited
us-ok,C-457-120,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/120,no,federal-only element (42 CFR 457.120); carried at the us row and inherited
us-or,C-457-120,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/120,no,federal-only element (42 CFR 457.120); carried at the us row and inherited
us-pa,C-457-120,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/120,no,federal-only element (42 CFR 457.120); carried at the us row and inherited
us-ri,C-457-120,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/120,no,federal-only element (42 CFR 457.120); carried at the us row and inherited
us-sc,C-457-120,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/120,no,federal-only element (42 CFR 457.120); carried at the us row and inherited
us-sd,C-457-120,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/120,no,federal-only element (42 CFR 457.120); carried at the us row and inherited
us-tn,C-457-120,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/120,no,federal-only element (42 CFR 457.120); carried at the us row and inherited
us-tx,C-457-120,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/120,no,federal-only element (42 CFR 457.120); carried at the us row and inherited
us-ut,C-457-120,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/120,no,federal-only element (42 CFR 457.120); carried at the us row and inherited
us-va,C-457-120,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/120,no,federal-only element (42 CFR 457.120); carried at the us row and inherited
us-vt,C-457-120,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/120,no,federal-only element (42 CFR 457.120); carried at the us row and inherited
us-wa,C-457-120,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/120,no,federal-only element (42 CFR 457.120); carried at the us row and inherited
us-wi,C-457-120,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/120,no,federal-only element (42 CFR 457.120); carried at the us row and inherited
us-wv,C-457-120,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/120,no,federal-only element (42 CFR 457.120); carried at the us row and inherited
us-wy,C-457-120,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/120,no,federal-only element (42 CFR 457.120); carried at the us row and inherited
us,C-457-125,federal_with_state_option,federal regulation (eCFR),PRESENT,2026-07-13-recovery-r2026-07-17-dedup,us/regulation/42/457/125,no,federal regulation text held (42 CFR 457.125)
us-ak,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-chip-state-eligibility-manual,us-ak/manual/dpa/magi-medicaid/812-medical-support-assignment/block-1,no,strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'ho is applying on behalf of a child who is a beneficiary of Indian Health Service ( IHS Indian Health Service ) funded Native health services and thos'
us-al,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,not found in held text (searched 4 provisions in Alabama's program and pointer scopes); carried by CHIP state plan sections 4.1-4.4 (eligibility standards and methodology) on medicaid.gov
us-ar,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,not found in held text (searched 561 provisions in Arkansas's program and pointer scopes); carried by CHIP state plan sections 4.1-4.4 (eligibility standards and methodology) on medicaid.gov; untaken publisher families: other_program_manual_pdf (11 of 11 not taken); index https://humanservices.arkansas.gov/divisions-shared-services/county-operations/division-policies/
us-az,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,not found in held text (searched 3969 provisions in Arizona's program and pointer scopes); carried by CHIP state plan sections 4.1-4.4 (eligibility standards and methodology) on medicaid.gov; untaken publisher families: toc_repeat_of_listed_topic (1632 of 1632 not taken); index https://epm.azahcccs.gov/EligibilityPolicyManual/index.html
us-ca,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,OUTREACH,,,no,publisher block recorded in the chip queue row (blocked_primary_source); searched 0 provisions in California's program and pointer scopes: Blocked. California's CHIP is Title XXI-funded Medi-Cal for children (Optional Targeted Low-Income Children) plus MCAP and county CCHIP; the eligibility manual is the DHCS Medi-Cal Eligibility Procedu
us-co,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-chip-state-eligibility-manual,us-co/regulation/10-ccr-2505-3/110,no,"strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'ho: 1. Was born in Canada and possesses at least 50 percent American Indian blood; or 2. Is a member of an Indian tribe, as defined in 25 U.S.C. Secti'"
us-ct,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,not found in held text (searched 1635 provisions in Connecticut's program and pointer scopes); carried by CHIP state plan sections 4.1-4.4 (eligibility standards and methodology) on medicaid.gov
us-dc,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,OUTREACH,,,no,"publisher block recorded in the chip queue row (blocked_primary_source); searched 23 provisions in District of Columbia's program and pointer scopes: Blocked. DC's CHIP (DC Healthy Families) is Medicaid-expansion coverage governed by 29 DCMR Chapter 95 Medicaid Eligibility, published by the Office of Documents at dcregs.dc.gov: the chapter list (19"
us-de,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,not found in held text (searched 146 provisions in Delaware's program and pointer scopes); carried by CHIP state plan sections 4.1-4.4 (eligibility standards and methodology) on medicaid.gov
us-fl,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,OUTREACH,,,no,"publisher block recorded in the chip queue row (blocked_primary_source); searched 1059 provisions in Florida's program and pointer scopes: Blocked. The Title XXI agency page https://ahca.myflorida.com/medicaid/florida-kidcare returns HTTP 403 (Cloudflare 'Attention Required!') to a plain client, to a curl client and to the chrome120 brow"
us-ga,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-chip-state-eligibility-manual,us-ga/manual/dfcs/chip/2194/block-7,no,"strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'for children under age six (6), children in Foster Care or American Indians and Alaskan Natives (AI/AN). ELE PCK premium(s) is as follows: 236%-247%'"
us-hi,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-chip-state-eligibility-manual,us-hi/regulation/har/17/1724-2/page-4,no,strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'es (not for living expenses) shall be excluded; (3) Certain American Indian/Alaska Native income as defined in 42 C.F.R. §435.603 shall be excluded: ('
us-ia,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-chip-state-eligibility-manual,us-ia/manual/hhs/chip/employees-manual-5-e/page-60,no,"strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'Distributions by a Native Corporation established under the Alaska Native Claims Settlement Act, Public Law 92-203 when distributed to an Alaskan Nati'"
us-id,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,not found in held text (searched 357 provisions in Idaho's program and pointer scopes); carried by CHIP state plan sections 4.1-4.4 (eligibility standards and methodology) on medicaid.gov
us-il,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-05-27-il-cash-snap-medical-manual-r2026-07-15-self-contained,us-il/manual/dhs/csmm/16628/block-1,no,"strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'e 1. Person who is a citizen by birth or naturalization, or American Indian born in Canada Eligible Eligible Eligible Eligible Eligible N/A Eligible 3'"
us-in,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-chip-state-eligibility-manual,us-in/manual/fssa/chip/ihcppm-chapter-1600/1620.35.05,no,strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: '1620.35.05 NATIVE AMRICAN/ALASKA NATIVE HIP (MED 3)'
us-ks,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-medicaid-state-eligibility-manual,us-ks/manual/kdhe/medicaid/mkeesm-2000-2900-2910-third-party-resources/block-1,no,"strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'or in error. However, certain third party coverages such as Indian Health Services, VA, and Kansas Health Insurance Association coverage are not to be'"
us-ky,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-medicaid-state-eligibility-manual,us-ky/manual/dcbs/medicaid/volume-ivb/page-38,no,"strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'MS1460 (2) u. Individual ineligible for American Indian/Alaskan Native (AIAN) categories, since he/she did not verify AIAN status; v. Individual denie'"
us-la,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-medicaid-state-eligibility-manual,us-la/manual/ldh/medicaid/h-3040/page-1,no,strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'igible child verified as a member of a federally-recognized American Indian or Alaskan native tribe will pay no premium. Eligibility for applicants/b'
us-ma,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-chip-state-eligibility-manual,us-ma/regulation/130-cmr/505/002,no,strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'overage or coverage only for specified illness; or 3. be an American Indian or Alaska Native who is provided care through a medical care program of th'
us-md,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-chip-state-eligibility-manual,us-md/regulation/title-10/subtitle-09/chapter-11/regulation-02/block-1,no,"strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'dian tribe, as defined in 25 U.S.C. §450b(e); or (j) Is an American Indian born in Canada to whom §289 of the INA applies. (30) “Recipient” means an'"
us-me,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,not found in held text (searched 105 provisions in Maine's program and pointer scopes); carried by CHIP state plan sections 4.1-4.4 (eligibility standards and methodology) on medicaid.gov; untaken publisher families: rule_chapter_docx (2 listed in the index; the run took 1 documents in all); rule_chapter_doc (3 listed in the index; the run took 1 documents in all); rule_appendices_docx (1 listed in the index; the ; index https://www.maine.gov/sos/cec/rules/10/ch332.htm
us-mi,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-07-17-mi-bridges-manual,us-mi/manual/mdhhs/bridges/bem/137/page-3,no,strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'in Michigan). • Federal Employees Health Benefit Program. • Indian Health Service. • Peace Corps. • Public Health Plan (any plan established or mainta'
us-mn,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-medicaid-state-eligibility-manual,us-mn/manual/dhs/medicaid/2-1-1-2-1-3/block-2,no,"strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'e the payer of last resort, with limited exception, such as Indian Health Services. This means enrollees with third party liability (TPL) must have me'"
us-mo,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-medicaid-state-eligibility-manual,us-mo/manual/dss/medicaid/magi/1805-000-00/1805-020-00/1805-020-05/1805-020-05-05/block-1,no,"strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'include, but are not limited to: A Tribal enrollment card American Indian Card ( I-872) A Certificate of Degree of Indian Blood A Tribal census do'"
us-ms,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-medicaid-state-eligibility-manual,us-ms/manual/dom/medicaid/chapter-102/page-83,no,"strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'yees Health Benefits Program, • Health coverage through the Indian Health Service, • Any plan established or maintained by a State, the U.S. governmen'"
us-mt,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-medicaid-state-eligibility-manual,us-mt/manual/dphhs/medicaid/aca201-5/page-1,no,"strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'coverage: 1. Accident-only insurance policies, 2. Tribal or Indian Health Services (IHS), 3. Healthy Montana Kids Plus (HMK Plus) or Medicaid, 4. Ment'"
us-nc,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,not found in held text (searched 2360 provisions in North Carolina's program and pointer scopes); carried by CHIP state plan sections 4.1-4.4 (eligibility standards and methodology) on medicaid.gov; untaken publisher families: abd_administrative_letters (117 of 117 not taken); abd_change_notices (126 of 126 not taken); fcm_administrative_letters (118 of 118 not taken); fcm_change_notices (81 of 81 not taken); dhb_forms (400; index https://policies.ncdhhs.gov/divisional-a-m/health-benefits-nc-medicaid/
us-nd,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-chip-state-eligibility-manual,us-nd/manual/hhs/aca-medicaid/510-03-35-50/block-1,no,strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'American Indians Born in Canada 510-03-35-50'
us-ne,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,not found in held text (searched 35 provisions in Nebraska's program and pointer scopes); carried by CHIP state plan sections 4.1-4.4 (eligibility standards and methodology) on medicaid.gov; untaken publisher families: nac_477_chapter_pdf (29 listed in the index; the run took 1 documents in all); index https://rules.nebraska.gov/api/chapter/GetByTitleId/232
us-nh,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,not found in held text (searched 737 provisions in New Hampshire's program and pointer scopes); carried by CHIP state plan sections 4.1-4.4 (eligibility standards and methodology) on medicaid.gov; untaken publisher families: he_w_chapter_html (1 listed in the index; the run took 1 documents in all); index https://gc.nh.gov/rules/state_agencies/he-w800.html
us-nj,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-medicaid-state-eligibility-manual,us-nj/manual/dhs/medicaid/njac-10-78/page-10,no,"strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'm. (b) No cost sharing shall be imposed on children who are American Indians or Alaska Natives, as defined in 42 CFR 457.10. Proof of Federally recogn'"
us-nm,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-chip-state-eligibility-manual,us-nm/regulation/nmac/8/291/400/8.291.400.13,no,"strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'ncy; or (c) a federally qualified health center (FQHC), an Indian health service (IHS) facility, a state of New Mexico agency, a school, or a head st'"
us-nv,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-medicaid-state-eligibility-manual,us-nv/manual/dss/medicaid/d-100/page-7,no,"strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'child eligible for Nevada Check Up (NCU) is a member of an American Indian tribe, send an Insufficient Information Form requesting verification of Am'"
us-ny,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-medicaid-state-eligibility-manual,us-ny/manual/doh/medicaid/master-index/page-59,no,"strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: '624, 628 Native Americans, 579, 587, 591, 595, 604-607, 614 American Indian born in Canada, 605-607, 614, Definition, See Glossary Living on reservati'"
us-oh,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,not found in held text (searched 96 provisions in Ohio's program and pointer scopes); carried by CHIP state plan sections 4.1-4.4 (eligibility standards and methodology) on medicaid.gov; untaken publisher families: chapter_landing_page (6 of 6 not taken); index https://codes.ohio.gov/ohio-administrative-code/5160:1
us-ok,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-medicaid-state-eligibility-manual,us-ok/manual/ohca/medicaid/317-35-5-7/block-1,no,strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'The child is eligible for health care services through the Indian Health Service and the child support case was or would have been opened because of'
us-or,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-chip-state-eligibility-manual,us-or/regulation/chapter-410/division-200/410-200-0015,no,strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'iving expenses are excluded; (c) Income from the following American Indian and Alaska Native sources is excluded: (A) Distributions from Alaska Nati'
us-pa,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-chip-state-eligibility-manual,us-pa/manual/dhs/chip/enrollment-and-benefits-handbook/chapter-3,no,"strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'he next enrollment period begins. 3.5 SPECIAL CIRCUMSTANCES American Indian and Alaska Native Cost Sharing Under existing federal mandate, cost sharin'"
us-ri,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-chip-state-eligibility-manual,us-ri/regulation/210-ricr/30/00/5/page-7,no,strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'om consideration as income. (3) Certain types of income for American Indian/Alaska Native persons are excluded. f. Treatment of other sources of incom'
us-sc,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,not found in held text (searched 50 provisions in South Carolina's program and pointer scopes); carried by CHIP state plan sections 4.1-4.4 (eligibility standards and methodology) on medicaid.gov; untaken publisher families: miap_manual_docx (1 of 1 not taken); staff_training_or_forms_link (9 of 9 not taken); index https://www.scdhhs.gov/providers/manuals/sc-medicaid-policy-and-procedures-manual
us-sd,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,not found in held text (searched 46 provisions in South Dakota's program and pointer scopes); carried by CHIP state plan sections 4.1-4.4 (eligibility standards and methodology) on medicaid.gov; untaken publisher families: arsd_chapter (13 listed in the index; the run took 2 documents in all); index https://sdlegislature.gov/api/Rules/67:46
us-tn,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-medicaid-state-eligibility-manual,us-tn/manual/tenncare/medicaid/abd-100-015/page-1,no,strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'ty Reconciliation Act (PRWORA) of 1996 at 8 USC 1641; b. An American Indian born outside of the U.S.; or c. A non-citizen who has been granted a certa'
us-tx,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-05-27-tx-manuals-r2026-07-15-self-contained,us-tx/manual/hhs/texas-works-handbook/a-1340-income-limits/block-13,no,strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'contributions; unearned income; self-employment income; American Indian/Alaska Natives (AI/AN) disbursement; overpayments; and expenses. Step 3'
us-ut,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-chip-state-eligibility-manual,us-ut/manual/dhhs/chip/202-2-qulaified-non-citizen/block-1,no,strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'y enter as refugees or lawful permanent residents.) 10. An American Indian born in Canada who is at least one-half American Indian. They are consider'
us-va,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-medicaid-state-eligibility-manual,us-va/manual/dmas/medicaid/m04/page-41,no,strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'ation only if it is countable for taxes: • Payments made to American Indian/Alaska Natives as described in M0440.100 B.5. • Scholarships/Awards and fe'
us-vt,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-medicaid-state-eligibility-manual,us-vt/manual/dvha/medicaid/hbee-part-3/17.02,no,strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'ning qualified non-citizen status. (4) Non-citizens who are American Indians who were born in Canada and who are of at least one-half American Indian'
us-wa,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-chip-state-eligibility-manual,us-wa/manual/hca/chip/apple-health-for-kids/wac-182-505-0215,no,"strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'care, while state-funded children remain fee-for-service. American Indian/Alaska Native children are exempt from the premium requirement. Children'"
us-wi,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-medicaid-state-eligibility-manual,us-wi/manual/dhs/medicaid/meh-release-26-03/page-300,no,"strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'ht less than 2,500 grams or 5 lbs. 8 oz.). Native American, American Indian, Alaskan Native or member of a federally recognized Tribe If the member at'"
us-wv,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,PRESENT,2026-07-21-wv-income-maintenance-manual,us-wv/manual/bfa/income-maintenance-manual/page-1787,no,strong pattern /american indian|alaska native|\bAI/AN\b|tribal mem/ matched: 'ents • Exempt – Federal regulations exempt Native Americans/Alaska Natives from cost sharing Even though some policies and procedures for WVCHIP are t'
us-wy,C-457-125,federal_with_state_option,state eligibility manual or codified eligibility regulation,OUTREACH,,,no,publisher block recorded in the chip queue row (blocked_primary_source); searched 0 provisions in Wyoming's program and pointer scopes: Blocked. Wyoming's separate CHIP (Kid Care CHIP) eligibility rules are Department of Health rules filed with the Secretary of State at rules.wyo.gov (agency 048): the site answers HTTP 200 but its age
us,C-457-130,federal_only,federal regulation (eCFR),PRESENT,2026-07-13-recovery-r2026-07-17-dedup,us/regulation/42/457/130,no,federal regulation text held (42 CFR 457.130)
us-ak,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-al,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-ar,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-az,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-ca,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-co,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-ct,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-dc,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-de,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-fl,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-ga,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-hi,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-ia,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-id,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-il,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-in,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-ks,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-ky,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-la,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-ma,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-md,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-me,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-mi,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-mn,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-mo,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-ms,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-mt,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-nc,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-nd,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-ne,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-nh,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-nj,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-nm,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
us-nv,C-457-130,federal_only,n/a (federal text only),INHERITED,,us/regulation/42/457/130,no,federal-only element (42 CFR 457.130); carried at the us row and inherited
